If you could know the future but not change it would you still want to know what it is?yes,neutral
if you could live anywhere in the world where would you liveummmmmm  i would like to move back to idaho falls because it was really pretty and i miss all my friends.. but i guess california or new jersey or new york would be cool. :) p.s. who is this? i love the questions,neutral
If you could only watch one TV show what would it be?the office 100%,neutral
If you could rid the world of one thing  what would it be?alcohol.,neutral
If you could wake up as anyone tomorrow  who would it be?christofer drew  or my sister,neutral
if you didnt notice tabi. i was trying to say a definition of something. i wasnt saying anything mean to you so dont tell me to stfu k? i wasnt being mean or nice. so just stop.alright  just stop talking to me okay? hahaha,neutral
If you had threee wishes what would they be1. TO GO TO IDAHOr 2. TO GO SEE MY IDAHO FRIENDSr 3. TO MOVE TO IDAHO,neutral
If you know that down the road there was a business that dismembered baby boys and girls each week would you do something to stop it from continuing? And would you be a bad person if you didn&#39;t try to stop it?i would probably try about 2050965967 ways to stop it. ninja to protest. and i would be disapointed in whoever didnt try.,neutral
If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.-hahahaahha i  know  myspace.com/tabiisaninja,neutral
If you people really still think that Tabi&#39;s fake  go look at her dang MySpace. -.-hahahaahha i know  myspace.com/tabiisaninja,neutral
If you went to the doctor and found that you had at most one year left to live what would you spend your last year doing?well what does the dotor part have anything to do with it? hahahahahahhahaa but i think i would go around and do whatever i wanted and i wouldnt worry about getting in trouble. maybe get a peircing and talk to some of the boy i didnt think id have a chance with. oh and go to the beach. hang out with my sister.,neutral
If you were given a brand new yacht  what would you name it?a what?,neutral
If you&#39;re from Africa why are you white?samanthaaaaaaaaaa,neutral
If your gonna call someone fake .. at least speel it right ... geez ... ily Tabiaah!!hahaha yeahhh,neutral
im trying to be a gentle men so please dont make me ask againhey hey this is from skin and bones by romance on a rocket ship. i love that song,neutral
It&#39;s fine  i think ima go though my eyes are getting heavy. But  text me when you&#39;re off. If I don&#39;t reply im asleep.okay :),neutral
its prolly not who you think it is.. i just wanted you to know what i thought :)well,neutral
its prolly not who you think it is.. i just wanted you to know what i thought :)welll,neutral
Jac...bahahahalmao  i thought he spelled it some way messed up way. but lmao and you like ill have 8says order8 and thats jack  j-a-c-k. then your mom-he knows how to spell jack. hahahahahaha,neutral
jack needs to grow a few!lmao hahahahahhaahah who is this :)r but ha yeahh,neutral
just checking if your like a chomo or something ha. good thing you said ew.yeah good thing,neutral
just so you know scarlett wasnt on when that was wrote.oh okay :) sorry.,neutral
justin likes you.good im glad he does  id be sad if my husband didnt like me  we would have to get a divorce.r id be sad if any of my friends didnt like me.,neutral
l:),neutral
Leave Tabitha alone perverts. She&#39;s not the type of girl  where she just want sex. She&#39;s a sweet heart  so don&#39;t fucking mess with her.:D your my hero<3 thankyou.r i love you husband.,neutral
Let&#39;s get married?awhh i would saw lets! but i have a husband d:,neutral
lmao thanks for saying im pretty  come talk to me? :)your welcome :) sureee,neutral
LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?exactly  ugh it makes me mad we went to effing school together and they dont belive it hahah oh welllllllllllll.r why yes yes i do  and i like lemon drops,neutral
LMAO why would tabi be fake? hahahaha it cracks me up that they put up YOUR picture but put up a different name hahahaha thats low. so. back to a question cuz thats what these are for: hmmm.. do you like caramal apples?lmfao i no right. gosh its making me mad. yes  yes i do. haha i also like lemon drops XD,neutral
maryy me tabinoooooooooooooo you dont have a name,neutral
never mindVVVokay ha,neutral
nice friends .. oh wait :/ srrrry my bhuh?,neutral
no  i mean LIKE LIKEhaha okay.r we are friends.,neutral
No no no(: FUCK the people who are dicks to you you(; jkhmmmm,neutral
No. It&#39;s not Pryceoh sorry it was jack  im not use to hime actually talking to me like im a human.,neutral
Nuu-uhh! When!mmmmmm it was awhile ago like idk really. haha but he kept textin me offa dk phone likeeeee 3 weeks ago maybe  buhh dont worry it was just friendly friend stuff haha :) i member how you guys ment ;D,neutral
oh well you should really watch jar squatter sick video sick as in holy shit i cant believe he did that... i dare you to watch it and not look away are you up to the challenge?haha no im not lmao,neutral
Oh wow haha i just read that  guy/girl&#39;s(?) poem Love how my name is in it i feel honored jkhahahahahaahaha is this dakota silvey?,neutral
OH YEAH  Love Jo (: <3<3 hahahahhahah thakssssssssssssss,neutral
Okay so I am pretty much ridiculously jealous of you. You&#39;re so pretty!hahahha thank you :),neutral
OKAY. i was kidding down there lol. but 2 the other ppl that are being serious..SCREW-YOUR-SELFS. shes sooo pretty and you dont need 2 be sittinghere being mean to my friend!! your just jealous ur not as pretty as her (: <3 you tabi!!awhhh thank you jordy.. :),neutral
Okeyyy honestly now I think this stupid person is just making up stuff cause she/he wont send you the link. Probably just trying to create drama and such. Maybe trying to make you worry? I dunno. Butttt anyways I love you TabiLou (;<3haha yeah probably.,neutral
Omg all these Texans are so sensitive!lmao i no hahahahahhahahahahahaha thats what im sayin,neutral
People actually remembering you mentioning male attention specifially; Six flags blah blah and what not is kind of creeeeepy! And I sense major jealousy. I guess boys don&#39;t flirt with them? Pathetic. --Samhahahaha true lady goo goo ,neutral
people you really dont have anythng better todo with yr lives thn mess with tabi?follow these steps.1:shut up 2:getalife 3:stop telling tabi shes a fake and that shes ugly 4:realize that the only reason you are mean is because your insecure!!falloffacliffhhahahahahha thankyou :) LOCKERBUDDIESFORLIFE.,neutral
pokemon yes or no?yesss,neutral
Quit being mean to me and I will be happy!!!!!!!!!!!!!!!jack  im not being mean. im simply not going to do that.,neutral
quit fishing for compliment and saying your ugly  it&#39;s so annoyingwellll  im not fishing for any  your annoying  go do something else than be rude to me.,neutral
Quit trying to make everyone feel sorry for youhahaha okay? i dont hah,neutral
r Has anybody ever told you that you could do so much better about a person?yeah... even though i really couldnt.,neutral
r u g00d at artummmm  people tell me i am. but i dont really show alot of people my stuff.,neutral
r u in love with someone anonymously?what?,neutral
r Who&#39;s the biggest douche bag that you know?you.,neutral
Really? Because i know many people who dont like you. Most of them claim to be your friend. Sooooo  stfu :)hahaha why are you telling me to stfu when you wasted your time writeing that? lmao okkkaaayy jordin.,neutral
Say there is a man standing in front of you with $1 000 000 and he says To have this money all you gotta do is give me a blow job that lasts at least 10 minutes.  Do you give the guy a $1 000 000 blow job or not?stfu,neutral
Screw the people who are dicks to you. :D:) amen! haha,neutral
Seriously  leave Tabi alone. WTF VVVVVexactly lmao  and i no who said that and he/she does it all the time  ill text you who  :),neutral
She is whatever the Hell she wants to be  and not one bit of that is anyone named Cheyenne!hahahahha :),neutral
She isn&#39;t bulmic! I made her really upset! If you want to talk shit to her  PLEASE shit talk me  instead of Tabi. So please leave her alone D:<:)thanks.,neutral
sing?in the shower,neutral
Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhhokay  cool.,neutral
